ticker,status,n_rows,first_date,last_date,market_cap_missing_rate,float_market_cap_missing_rate,source,error_message
000001,success_with_fallback_fill,1975,2016-01-15,2025-12-31,0.0,0.016708860759493672,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000002,success_with_fallback_fill,1975,2016-01-15,2025-12-31,0.0,0.016708860759493672,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000008,success_with_fallback_fill,1976,2016-01-21,2025-12-31,0.0,0.01720647773279352,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000009,success_with_fallback_fill,1976,2016-01-21,2025-12-31,0.0,0.01720647773279352,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000027,success_with_fallback_fill,1979,2016-01-03,2025-12-31,0.0,0.01869631126831733,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000039,success_with_fallback_fill,1979,2016-01-03,2025-12-31,0.0,0.01869631126831733,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000046,fallback,165,2016-01-07,2024-02-06,0.0,1.0,akshare_baidu_fallback_inferred_1e8,eastmoney: TypeError: 'NoneType' object is not subscriptable | TypeError: 'NoneType' object is not subscriptable | TypeError: 'NoneType' object is not subscriptable
000060,success_with_fallback_fill,1983,2016-01-09,2025-12-31,0.0,0.020675743822491176,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000061,success_with_fallback_fill,1983,2016-01-09,2025-12-31,0.0,0.020675743822491176,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000063,success_with_fallback_fill,1986,2016-01-01,2025-12-31,0.0,0.022155085599194362,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000066,success_with_fallback_fill,1986,2016-01-01,2025-12-31,0.0,0.022155085599194362,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000069,success_with_fallback_fill,1986,2016-01-01,2025-12-31,0.0,0.022155085599194362,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000100,success_with_fallback_fill,1998,2016-01-08,2025-12-31,0.0,0.028028028028028028,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000156,success_with_fallback_fill,1991,2016-01-03,2025-12-31,0.0,0.024610748367654443,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000157,success_with_fallback_fill,1991,2016-01-03,2025-12-31,0.0,0.024610748367654443,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000166,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000301,success_with_fallback_fill,1988,2016-01-03,2025-12-31,0.0,0.023138832997987926,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000333,success_with_fallback_fill,2046,2016-01-07,2025-12-31,0.0,0.05083088954056696,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000338,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
000400,success_with_fallback_fill,1983,2016-01-09,2025-12-31,0.0,0.020675743822491176,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
