strategy_name,cost_bps,nav,drawdown
ICIR + weekly ewma_hl12 eta=2.0 no_clip,5,1.4670364811720729,-0.038061709582383085
ICIR + weekly ewma_hl12 eta=2.0 no_clip,10,1.4420545005180772,-0.03877790866712738
ICIR + weekly ewma_hl12 eta=2.0 no_clip,20,1.3933399368925725,-0.040209108791926074
ICIR + weekly ewma_hl4 eta=0.5 clip_0.5,0,1.3448310687078333,-0.040778544195885
ICIR + weekly ewma_hl4 eta=0.5 clip_0.5,5,1.3226107285777768,-0.04143251788154001
ICIR + weekly ewma_hl4 eta=0.5 clip_0.5,10,1.3007519021547351,-0.05068573660036879
ICIR + weekly ewma_hl4 eta=0.5 clip_0.5,20,1.2580957203539924,-0.07738472260683715
ICIR + weekly ewma_hl4 eta=0.5 clip_0.7,0,1.3647261822672194,-0.04077854419588478
ICIR + weekly ewma_hl4 eta=0.5 clip_0.7,5,1.342411399092106,-0.04143251788153979
ICIR + weekly ewma_hl4 eta=0.5 clip_0.7,10,1.3204559577829762,-0.04635887676646766
ICIR + weekly ewma_hl4 eta=0.5 clip_0.7,20,1.277600398566826,-0.07289169308963483
ICIR + weekly ewma_hl4 eta=0.5 clip_0.8,0,1.4020048527404012,-0.04077854419588489
ICIR + weekly ewma_hl4 eta=0.5 clip_0.8,5,1.379348803283977,-0.04143251788154001
ICIR + weekly ewma_hl4 eta=0.5 clip_0.8,10,1.3570533257467965,-0.04208615894186363
ICIR + weekly ewma_hl4 eta=0.5 clip_0.8,20,1.3135215715329742,-0.04918463975223086
ICIR + weekly ewma_hl4 eta=0.5 no_clip,0,1.3535873068243685,-0.04077854419588456
ICIR + weekly ewma_hl4 eta=0.5 no_clip,5,1.331050323532666,-0.0414325178815399
ICIR + weekly ewma_hl4 eta=0.5 no_clip,10,1.308882790822919,-0.04475165449444596
ICIR + weekly ewma_hl4 eta=0.5 no_clip,20,1.265632324384151,-0.0718578092683746
ICIR + weekly ewma_hl4 eta=1.0 clip_0.5,0,1.3988236540512877,-0.03879108918656604
ICIR + weekly ewma_hl4 eta=1.0 clip_0.5,5,1.375445008798409,-0.03945683411356926
