date,factor_name,raw_coverage,post_filter_coverage,post_neutralization_coverage,cross_section_std
2018-08-10,momentum_3m,1.0,1.0,1.0,0.9999999999999999
2018-08-10,momentum_6m,1.0,1.0,1.0,1.0000000000000002
2018-08-10,reversal_1m,1.0,1.0,1.0,1.0000000000000004
2018-08-10,turnover_1m,0.9930795847750865,0.9930795847750865,0.9930795847750865,0.9999999999999999
2018-08-10,turnover_3m,0.986159169550173,0.986159169550173,0.986159169550173,0.9999999999999999
2018-08-10,volatility_1m,1.0,1.0,1.0,1.0000000000000004
2018-08-10,volatility_3m,1.0,1.0,1.0,1.0000000000000002
2018-08-17,liquidity_1m,1.0,1.0,1.0,0.9999999999999999
2018-08-17,momentum_12m,0.9759450171821306,0.9759450171821306,0.9759450171821306,1.0000000000000004
2018-08-17,momentum_1m,1.0,1.0,1.0,1.0
2018-08-17,momentum_3m,1.0,1.0,1.0,1.0
2018-08-17,momentum_6m,1.0,1.0,1.0,1.0
2018-08-17,reversal_1m,1.0,1.0,1.0,1.0
2018-08-17,turnover_1m,0.993127147766323,0.993127147766323,0.993127147766323,1.0
2018-08-17,turnover_3m,0.9862542955326461,0.9862542955326461,0.9862542955326461,1.0000000000000002
2018-08-17,volatility_1m,1.0,1.0,1.0,0.9999999999999999
2018-08-17,volatility_3m,1.0,1.0,1.0,1.0000000000000004
2018-08-24,liquidity_1m,1.0,1.0,1.0,1.0000000000000002
2018-08-24,momentum_12m,0.976027397260274,0.976027397260274,0.976027397260274,1.0000000000000002
2018-08-24,momentum_1m,1.0,1.0,1.0,0.9999999999999993
2018-08-24,momentum_3m,1.0,1.0,1.0,1.0000000000000004
2018-08-24,momentum_6m,1.0,1.0,1.0,0.9999999999999998
2018-08-24,reversal_1m,1.0,1.0,1.0,0.9999999999999993
2018-08-24,turnover_1m,0.9931506849315068,0.9931506849315068,0.9931506849315068,0.9999999999999993
2018-08-24,turnover_3m,0.9828767123287672,0.9828767123287672,0.9828767123287672,1.0000000000000004
2018-08-24,volatility_1m,1.0,1.0,1.0,1.0
2018-08-24,volatility_3m,1.0,1.0,1.0,0.9999999999999996
2018-08-31,liquidity_1m,1.0,1.0,1.0,1.0000000000000002
2018-08-31,momentum_12m,0.9761092150170648,0.9761092150170648,0.9761092150170648,0.9999999999999997
2018-08-31,momentum_1m,1.0,1.0,1.0,1.0000000000000004
2018-08-31,momentum_3m,1.0,1.0,1.0,1.0000000000000007
2018-08-31,momentum_6m,1.0,1.0,1.0,1.0
2018-08-31,reversal_1m,1.0,1.0,1.0,1.0000000000000004
2018-08-31,turnover_1m,0.9931740614334471,0.9931740614334471,0.9931740614334471,0.9999999999999999
2018-08-31,turnover_3m,0.9863481228668942,0.9863481228668942,0.9863481228668942,1.0
2018-08-31,volatility_1m,1.0,1.0,1.0,1.0000000000000002
2018-08-31,volatility_3m,1.0,1.0,1.0,1.0000000000000002
2018-09-07,liquidity_1m,1.0,1.0,1.0,1.0
2018-09-07,momentum_12m,0.9761092150170648,0.9761092150170648,0.9761092150170648,1.0
2018-09-07,momentum_1m,1.0,1.0,1.0,1.0000000000000007
2018-09-07,momentum_3m,1.0,1.0,1.0,0.9999999999999998
2018-09-07,momentum_6m,1.0,1.0,1.0,1.0000000000000002
2018-09-07,reversal_1m,1.0,1.0,1.0,1.0000000000000007
2018-09-07,turnover_1m,0.9965870307167235,0.9965870307167235,0.9965870307167235,0.9999999999999997
2018-09-07,turnover_3m,0.9863481228668942,0.9863481228668942,0.9863481228668942,1.0000000000000004
2018-09-07,volatility_1m,1.0,1.0,1.0,0.9999999999999994
2018-09-07,volatility_3m,1.0,1.0,1.0,0.9999999999999994
2018-09-14,liquidity_1m,1.0,1.0,1.0,1.0000000000000002
2018-09-14,momentum_12m,0.976027397260274,0.976027397260274,0.976027397260274,1.0000000000000002
2018-09-14,momentum_1m,1.0,1.0,1.0,0.9999999999999997
2018-09-14,momentum_3m,1.0,1.0,1.0,0.9999999999999994
2018-09-14,momentum_6m,1.0,1.0,1.0,0.9999999999999999
2018-09-14,reversal_1m,1.0,1.0,1.0,0.9999999999999997
2018-09-14,turnover_1m,1.0,1.0,1.0,1.0000000000000002
2018-09-14,turnover_3m,0.9897260273972602,0.9897260273972602,0.9897260273972602,1.0000000000000004
2018-09-14,volatility_1m,1.0,1.0,1.0,1.0000000000000002
2018-09-14,volatility_3m,1.0,1.0,1.0,1.0000000000000007
2018-09-21,liquidity_1m,1.0,1.0,1.0,1.0000000000000004
2018-09-21,momentum_12m,0.9759450171821306,0.9759450171821306,0.9759450171821306,0.9999999999999999
2018-09-21,momentum_1m,1.0,1.0,1.0,1.0000000000000004
2018-09-21,momentum_3m,1.0,1.0,1.0,0.9999999999999996
2018-09-21,momentum_6m,1.0,1.0,1.0,1.0
2018-09-21,reversal_1m,1.0,1.0,1.0,1.0000000000000004
2018-09-21,turnover_1m,0.9965635738831615,0.9965635738831615,0.9965635738831615,0.9999999999999999
2018-09-21,turnover_3m,0.9896907216494846,0.9896907216494846,0.9896907216494846,1.0
2018-09-21,volatility_1m,1.0,1.0,1.0,1.0000000000000004
2018-09-21,volatility_3m,1.0,1.0,1.0,0.9999999999999997
2018-09-28,liquidity_1m,1.0,1.0,1.0,1.0000000000000002
2018-09-28,momentum_12m,0.9758620689655172,0.9758620689655172,0.9758620689655172,1.0000000000000004
2018-09-28,momentum_1m,1.0,1.0,1.0,1.0
2018-09-28,momentum_3m,1.0,1.0,1.0,0.9999999999999998
2018-09-28,momentum_6m,1.0,1.0,1.0,0.9999999999999994
2018-09-28,reversal_1m,1.0,1.0,1.0,1.0
2018-09-28,turnover_1m,1.0,1.0,1.0,1.0
2018-09-28,turnover_3m,0.993103448275862,0.993103448275862,0.993103448275862,1.0000000000000002
2018-09-28,volatility_1m,1.0,1.0,1.0,1.0000000000000007
2018-09-28,volatility_3m,1.0,1.0,1.0,1.0
